YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER 
,,,,,,,,
1996,ENG,228,9,6,NZ,LOST,AHMEDABAD,SRI LANKA
,,140,2,10,UAE,WON,PESHAWAR,
,,279,4,6,NED,WON,PESHAWAR,
,,152,10,10,SA,LOST,RAWALPINDI,
,,249,9,3,PAK,LOST,KARACHI,
,,235,8,5,SL,LOST,FAISALABAD,
,,,,,,,,
,NZ,239,6,9,ENG,WON,AHMEDABAD,
,,307,8,7,NED,WON,VADODARA,
,,177,9,5,SA,LOST,FAISALABAD,
,,276,8,9,UAE,WON,FAISALABAD,
,,235,10,5,PAK,LOST,LAHORE,
,,286,9,4,AUS,LOST,CHENNAI,
,,,,,,,,
,SA,321,2,8,UAE,WON,RAWALPINDI,
,,177,9,5,NZ,WON,FAISALABAD,
,,230,10,10,ENG,WON,RAWALPINDI,
,,243,5,6,PAK,WON,KARACHI,
,,328,3,8,NED,WON,RAWALPINDI,
,,245,10,8,WI,LOST,KARACHI,
,,,,,,,,
,UAE,152,8,2,SA,LOST,RAWALPINDI,
,,136,10,2,ENG,LOST,PESHAWAR,
,,109,9,1,PAK,LOST,GUJRANWALA,
,,167,9,8,NZ,LOST,FAISALABAD,
,,220,3,9,NED,WON,LAHORE,
,,,,,,,,
,WI,155,4,9,ZIM,WON,HYDERABAD,
,,173,10,5,IND,LOST,GWALIOR,
,,NR,NR,NR,SL,LOST,COLOMBO,
,,93,10,10,KEN,LOST,PUNE,
,,232,6,6,AUS,WON,JAIPUR,
,,264,8,10,SA,WON,KARACHI,
,,202,10,8,AUS,LOST,MOHALI,
,,,,,,,,
,ZIM,151,9,4,WI,LOST,HYDERABAD,
,,228,6,4,SL,LOST,COLOMBO,
,,137,5,10,KEN,WON,PATNA,
,,154,10,2,AUS,LOST,NAGPUR,
,,207,10,5,IND,LOST,KANPUR,
,,,,,,,,
,NED,188,7,8,NZ,LOST,VADODARA,
,,230,6,4,ENG,LOST,PESHAWAR,
,,145,7,2,PAK,LOST,LAHORE,
,,216,9,3,UAE,LOST,LAHORE,
,,168,8,3,SA,LOST,RAWALPINDI,
,,,,,,,,
,SL,NR,NR,NR,AUS,WON,COLOMBO,
,,229,4,6,ZIM,WON,COLOMBO,
,,NR,NR,NR,WI,WON,COLOMBO,
,,272,4,3,IND,WON,DELHI,
,,398,5,7,KEN,WON,KANDY,
,,236,5,8,ENG,WON,FAISALABAD,
,,251,8,8,IND,WON,KOLKATA,
,,245,3,7,AUS,WON,LAHORE,
,,,,,,,,
,AUS,NR,NR,NR,SL,LOST,COLOMBO,
,,304,7,7,KEN,WON,VISAKHAPATNAM,
,,258,10,10,IND,WON,MUMBAI,
,,158,2,10,ZIM,WON,NAGPUR,
,,229,6,6,WI,LOST,JAIPUR,
,,289,4,9,NZ,WON,CHENNAI,
,,207,8,10,WI,WON,MOHALI,
,,241,7,3,SL,LOST,LAHORE,
,,,,,,,,
,IND,203,3,6,KEN,WON,CUTTACK,
,,174,5,10,WI,WON,GWALIOR,
,,242,10,10,AUS,LOST,MUMBAI,
,,271,3,4,SL,LOST,DELHI,
,,247,5,10,ZIM,WON,KANPUR,
,,287,8,9,PAK,WON,BENGALURU,
,,120,8,8,SL,LOST,KOLKATA,
,,,,,,,,
,KEN,199,6,3,IND,LOST,CUTTACK,
,,207,7,7,AUS,LOST,VISAKHAPATNAM,
,,137,5,10,ZIM,LOST,PATNA,
,,166,10,10,WI,WON,PUNE,
,,254,7,5,SL,LOST,KANDY,
,,,,,,,,
,PAK,112,1,9,UAE,WON,GUJRANWALA,
,,151,2,7,NED,WON,LAHORE,
,,242,6,5,SA,LOST,KARACHI,
,,250,3,9,ENG,WON,KARACHI,
,,235,10,5,NZ,WON,LAHORE,
,,248,9,8,IND,LOST,BENGALURU,
