YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2015,NZ,331,6,10,SL,WON,CHRISTCHURCH,AUSTRALIA
,,146,7,10,SCO,WON,DUNEDIN,
,,125,2,10,ENG,WON,WELLINGTON,
,,152,9,10,AUS,WON,AUCKLAND,
,,188,4,10,AFG,WON,NAPIER,
,,290,7,7,BAN,WON,HAMILTON,
,,393,6,10,WI,WON,WELLINGTON,
,,299,6,5,SA,WON,AUCKLAND,
,,,,,AUS,LOST,MELBOURNE,
,,,,,,,,
,SL,233,10,6,NZ,LOST,CHRISTCHURCH,
,,236,6,10,AFG,WON,DUNEDIN,
,,332,1,10,BAN,WON,MELBOURNE,
,,312,1,6,ENG,WON,WELLINGTON,
,,312,10,9,AUS,LOST,SYDNEY,
,,363,9,10,SCO,WON,HOBART,
,,133,10,1,SA,LOST,SYDNEY,
,,,,,,,,
,AUS,342,9,1,ENG,WON,MELBOURNE,
,,NR,NR,NR,BAN,NR,BRISBANE,
,,151,10,9,NZ,LOST,AUCKLAND,
,,417,6,10,AFG,WON,PERTH,
,,376,9,10,SL,WON,SYDNEY,
,,133,3,10,SCO,WON,HOBART,
,,216,4,10,PAK,WON,ADELAIDE,
,,328,7,10,IND,WON,SYDNEY,
,,186,3,10,NZ,WON,MELBOURNE,
,,,,,,,,
,ENG,231,10,9,AUS,LOST,MELBOURNE,
,,123,10,2,NZ,LOST,WELLINGTON,
,,303,8,10,SCO,WON,CHRISTCHURCH,
,,309,6,1,SL,LOST,WELLINGTON,
,,260,10,7,BAN,LOST,ADELAIDE,
,,101,1,7,AFG,WON,SYDNEY,
,,,,,,,,
,SA,339,4,10,ZIM,WON,HAMILTON,
,,177,10,7,IND,LOST,MELBOURNE,
,,408,5,10,WI,WON,SYDNEY,
,,411,4,10,IRE,WON,CANBERRA,
,,202,10,10,PAK,LOST,AUCKLAND,
,,341,6,10,UAE,WON,WELLINGTON,
,,134,1,10,SL,WON,SYDNEY,
,,281,5,6,NZ,LOST,AUCKLAND,
,,,,,,,,
,ZIM,277,10,4,SA,LOST,HAMILTON,
,,286,6,7,UAE,WON,NELSON,
,,289,10,2,WI,LOST,CANBERRA,
,,215,10,7,PAK,LOST,BRISBANE,
,,326,10,8,IRE,LOST,HOBART,
,,287,10,4,IND,LOST,AUCKLAND,
,,,,,,,,
,IND,300,7,10,PAK,WON,ADELAIDE,
,,307,7,10,SA,WON,MELBOURNE,
,,104,1,10,UAE,WON,PERTH,
,,185,6,10,WI,WON,PERTH,
,,260,2,10,IRE,WON,HAMILTON,
,,288,4,7,ZIM,WON,AUCKLAND,
,,302,6,10,BAN,WON,MELBOURNE,
,,233,10,7,AUS,LOST,SYDNEY,
,,,,,,,,
,PAK,224,10,7,IND,LOST,ADELAIDE,
,,160,10,6,WI,LOST,CHRISTCHURCH,
,,235,7,10,ZIM,WON,BRISBANE,
,,339,6,8,UAE,WON,NAPIER,
,,222,10,10,SA,WON,AUCKLAND,
,,241,3,10,IRE,WON,ADELAIDE,
,,231,10,4,AUS,LOST,ADELAIDE,
,,,,,,,,
,IRE,307,6,7,WI,WON,NAPIER,
,,279,8,9,UAE,WON,BRISBANE,
,,210,10,4,SA,LOST,CANBERRA,
,,331,8,10,ZIM,WON,HOBART,
,,259,10,2,IND,LOST,HAMILTON,
,,237,10,3,PAK,LOST,ADELAIDE,
,,,,,,,,
,WI,304,7,6,IRE,LOST,NELSON,
,,310,6,10,PAK,WON,CHRISTCHURCH,
,,372,2,10,ZIM,WON,CANBERRA,
,,151,10,5,SA,LOST,SYDNEY,
,,182,10,6,IND,LOST,PERTH,
,,176,4,10,UAE,WON,NAPIER,
,,250,10,6,NZ,LOST,WELLINGTON,
,,,,,,,,
,SCO,142,10,7,NZ,LOST,DUNEDIN,
,,184,10,8,ENG,LOST,CHRISTCHURCH,
,,210,10,9,AFG,LOST,DUNEDIN,
,,318,8,4,BAN,LOST,NELSON,
,,215,10,9,SL,LOST,HOBART,
,,130,10,3,AUS,LOST,HOBART,
,,,,,,,,
,BAN,267,10,10,AFG,WON,CANBERRA,
,,NR,NR,NR,AUS,NR,BRISBANE,
,,240,10,1,SL,LOST,MELBOURNE,
,,322,4,8,SCO,WON,NELSON,
,,275,7,10,ENG,WON,ADELAIDE,
,,288,7,7,NZ,LOST,HAMILTON,
,,193,10,6,IND,LOST,MELBOURNE,
,,,,,,,,
,UAE,285,7,6,ZIM,LOST,NNE,
,,278,9,8,IRE,LOST,BRISBANE,
,,102,10,1,IND,LOST,PERTH,
,,210,8,6,PAK,LOST,NAPIER,
,,195,10,6,SA,LOST,WELLINGTON,
,,175,10,4,WI,LOST,NAPIER,
,,,,,,,,
,AFG,162,10,10,BAN,LOST,CANBERRA,
,,232,10,6,SL,LOST,DUNEDIN,
,,211,9,10,SCO,WON,DUNEDIN,
,,142,10,6,AUS,LOST,PERTH,
,,186,10,4,NZ,LOST,NAPIER,
,,111,7,1,ENG,LOST,SYDNEY,
